model,rmse,mae,r2
RF_engagement,0.561470024145364,0.4056755599461892,0.6798246116167912
XGB_engagement,0.48084489324506346,0.213973060035751,0.7651747404569258
RF_score_neto,0.08870563281736665,0.06251971136347982,0.6360672537136389
XGB_score_neto,0.07789390124840731,0.03782556961693609,0.7193754582957063
