Project Tag,Seniority,Position,Location,n_registros,prob_mejorar,prob_empeorar,engagement_estacionario
NEXDEV,Sr Level 2,Quality Assurance Tester,AR/CABA/BA,111,0.35673382820784727,0.27183457051961823,2.7545454545454544
NEXDEV,Sr Level 2,Technology Consultant,CL/RM/SCL,120,0.34285714285714286,0.2816326530612245,2.689075630252101
ATLINT,Sr Level 1,Software Developer,AR/CABA/BA,126,0.27971176821983273,0.3420115129792549,2.645645062742773
ODYQST,Sr Level 2,Software Developer,AR/CABA/BA,126,0.18581560283687942,0.25833333333333336,2.635665418871822
VGRDIN,Ssr,Test Automation Engineer,CO/ANT/MED,125,0.2902597402597403,0.3818181818181818,2.629032258064516
STYPRJ,Ssr,Software Developer,CO/CUN/BOG,236,0.3268726872687269,0.27613299791517615,2.6156272242561656
CATPRO,Sr Level 2,Project Manager,CO/CUN/BOG,95,0.12770345596432553,0.18241758241758244,2.5625845229151003
HOREXP,Ssr,DevOps Engineer,MX/JALISCO/GDL,122,0.12307692307692308,0.3475378787878788,2.492063492063492
ATLINT,Ssr,Business Analyst,MX/CDMX/CDMX,126,0.19321212121212122,0.2359166666666667,2.3520000000000003
NEXDEV,Ssr,Software Developer,MX/CDMX/CDMX,120,0.22757763975155282,0.4188819875776398,2.3338057523968283
VGRDIN,Ssr,Software Developer,CO/CUN/BOG,112,0.1306896551724138,0.26634920634920634,2.312758682742488
NEXDEV,Ssr,Software Developer,AR/CABA/BA,118,0.22620069585586827,0.4160356884494815,2.268800735181498
VGRDIN,Sr Level 2,Software Developer,CO/ANT/MED,120,0.18170756963860413,0.26067649799901316,2.2378606615059815
HOREXP,Jr,DevOps Engineer,AR/CABA/BA,126,0.11545489740611692,0.08050540245662197,2.2256857855361583
CATPRO,Sr Level 1,Business Intelligence,AR/CABA/BA,126,0.11545489740611692,0.08050540245662197,2.2256857855361583
VGRDIN,Sr Level 2,Project Manager,CO/CUN/BOG,126,0.2278694638694639,0.43738461538461537,2.2040487564408027
HOREXP,Sr Level 1,DevOps Engineer,CL/RM/SCL,116,0.20259740259740258,0.19307359307359306,2.197468681389644
STYPRJ,Sr Level 2,Software Developer,CO/CUN/BOG,122,0.23483870967741938,0.35222319093286836,2.173553719008265
CATPRO,Sr Level 2,Technology Consultant,MX/CDMX/CDMX,86,0.16955465587044535,0.3044042232277526,2.1361734918538096
HOREXP,Ssr,Test Automation Engineer,MX/CDMX/CDMX,114,0.10378066378066378,0.28158730158730155,2.134093928264437
STYPRJ,Sr Level 1,DevOps Engineer,CO/ANT/MED,126,0.21136044880785415,0.17370967741935486,2.1272439878062546
ODYQST,Ssr,Test Automation Engineer,CL/RM/SCL,126,0.09952107279693487,0.12027270678386297,2.109159347553331
NEXDEV,Sr Level 1,Project Manager,CO/CUN/BOG,126,0.1481476739223218,0.20356060606060605,2.088
STYPRJ,Sr Level 1,Software Developer,MX/CDMX/CDMX,116,0.02077922077922078,0.2311111111111111,1.9994952044421996
ECOSYS,Sr Level 3,Quality Assurance Tester,MX/JALISCO/GDL,44,0.2,0.032432432432432434,1.8604651162790697
ATLINT,Ssr,Software Developer,AR/CABA/BA,126,0.13570571771291484,0.6655826558265583,1.7973000040059286
ATLINT,Ssr,Software Developer,CL/RM/SCL,126,0.07790492957746478,0.3611111111111111,1.64
VGRDIN,Ssr,Data Analyst,CO/ANT/MED,94,0.08620689655172413,0.13714285714285715,1.3859726510807233
CATPRO,Ssr,Software Developer,CO/ANT/MED,251,0.05280898876404494,0.1295774647887324,1.2895444685466377
ATLINT,Ssr,Quality Assurance Tester,CL/RM/SCL,125,0.0763459335624284,0.39166666666666666,1.2858266168665222
ODYQST,Ssr,Software Developer,AR/CABA/BA,115,0.09457264957264958,0.22111111111111112,1.2282003710575145
CATPRO,Sr Level 1,Software Developer,CO/ANT/MED,126,0.07176767676767677,0.19444444444444448,1.198996655518395
HOREXP,Sr Level 1,Cybersecurity Specialist,AR/CABA/BA,126,0.09960317460317461,0.15694444444444444,1.1982851018220788
STYPRJ,Sr Level 2,Business Analyst,MX/CDMX/CDMX,126,0.0974120082815735,0.17023809523809524,1.1769420468557328
ATLINT,Ssr,Project Manager,CO/CUN/BOG,104,0.07922077922077922,0.37636363636363634,1.1129744042365406
ECOSYS,Ssr,Quality Assurance Tester,MX/CDMX/CDMX,120,0.002150537634408602,0.1571428571428571,1.03125
CATPRO,Ssr,Visual Designer,AR/CABA/BA,55,0.0,0.09151515151515152,1.0
NEXDEV,Ssr,Software Developer,CL/RM/SCL,72,0.0,0.14714285714285716,1.0
